X,00:00:10:000,root,controlin,top,20
X,00:00:10:000,top,controlin,sender,20
Y,00:00:20:000,sender,dataout,top,11
Y,00:00:20:000,sender,packetsent,top,1
X,00:00:20:000,top,in1,network,11
Y,00:00:20:000,top,packetsent,root,1
X,00:00:20:000,network,in,subnet1,11
Y,00:00:22:987,subnet1,out,network,11
Y,00:00:22:987,network,out1,top,11
X,00:00:22:987,top,in,receiver,11
Y,00:00:32:987,receiver,out,top,1
X,00:00:32:987,top,in2,network,1
X,00:00:32:987,network,in,subnet2,1
Y,00:00:50:000,sender,dataout,top,11
Y,00:00:50:000,sender,packetsent,top,1
X,00:00:50:000,top,in1,network,11
Y,00:00:50:000,top,packetsent,root,1
X,00:00:50:000,network,in,subnet1,11
Y,00:00:51:957,subnet1,out,network,11
Y,00:00:51:957,network,out1,top,11
X,00:00:51:957,top,in,receiver,11
Y,00:01:01:957,receiver,out,top,1
X,00:01:01:957,top,in2,network,1
X,00:01:01:957,network,in,subnet2,1
Y,00:01:04:992,subnet2,out,network,1
Y,00:01:04:992,network,out2,top,1
X,00:01:04:992,top,ackin,sender,1
Y,00:01:04:992,sender,ackreceived,top,1
Y,00:01:04:992,top,ackreceived,root,1
Y,00:01:14:992,sender,dataout,top,20
Y,00:01:14:992,sender,packetsent,top,2
X,00:01:14:992,top,in1,network,20
Y,00:01:14:992,top,packetsent,root,2
X,00:01:14:992,network,in,subnet1,20
Y,00:01:17:174,subnet1,out,network,20
Y,00:01:17:174,network,out1,top,20
X,00:01:17:174,top,in,receiver,20
Y,00:01:27:174,receiver,out,top,0
X,00:01:27:174,top,in2,network,0
X,00:01:27:174,network,in,subnet2,0
Y,00:01:44:992,sender,dataout,top,20
Y,00:01:44:992,sender,packetsent,top,2
X,00:01:44:992,top,in1,network,20
Y,00:01:44:992,top,packetsent,root,2
X,00:01:44:992,network,in,subnet1,20
Y,00:01:48:841,subnet1,out,network,20
Y,00:01:48:841,network,out1,top,20
X,00:01:48:841,top,in,receiver,20
Y,00:01:58:841,receiver,out,top,0
X,00:01:58:841,top,in2,network,0
